Postcode,Bedrooms,PropertyType,VUDate,VTDate,TENDate,VUDays,VTDays,TotalVacDays,Program,HousingServiceCentre,LocalGovtAuthority,StateElectorate
4572,2,Townhouse,1/03/2020,1/03/2020,1/03/2020,9,14,23,Public Housing,MAROOCHYDORE HSC,Sunshine Coast,Maroochydore
4362,3,Detached House,1/12/2019,1/12/2019,1/02/2020,0,65,65,Public Housing,TOOWOOMBA AND SOUTH WEST HSC,Southern Downs,Southern Downs
4161,3,Detached House,1/08/2019,1/08/2019,1/09/2019,19,16,35,Public Housing,BAYSIDE HSC,Redland,Capalaba
4161,2,Townhouse,1/03/2020,1/03/2020,1/03/2020,21,2,23,Public Housing,BAYSIDE HSC,Redland,Capalaba
4161,2,Townhouse,1/06/2019,1/09/2019,1/09/2019,85,16,101,Public Housing,BAYSIDE HSC,Redland,Capalaba
4161,1,Apartment,1/02/2020,1/02/2020,1/02/2020,7,3,10,Public Housing,BAYSIDE HSC,Redland,Capalaba
4161,1,Apartment,1/01/2020,1/02/2020,1/02/2020,9,10,19,Public Housing,BAYSIDE HSC,Redland,Capalaba
4161,1,Apartment,1/11/2019,1/12/2019,1/12/2019,12,0,12,Public Housing,BAYSIDE HSC,Redland,Capalaba
4161,1,Apartment,1/07/2019,1/07/2019,1/07/2019,14,1,15,Public Housing,BAYSIDE HSC,Redland,Capalaba
4161,1,Apartment,1/02/2020,1/02/2020,1/03/2020,8,15,23,Public Housing,BAYSIDE HSC,Redland,Capalaba
4161,3,Detached House,1/05/2020,1/06/2020,1/06/2020,29,0,29,Public Housing,BAYSIDE HSC,Redland,Capalaba
4161,3,Detached House,1/09/2019,1/10/2019,1/10/2019,8,2,10,Public Housing,BAYSIDE HSC,Redland,Capalaba
4161,3,Detached House,1/08/2019,1/09/2019,1/09/2019,13,1,14,Public Housing,BAYSIDE HSC,Redland,Capalaba
4161,4,Detached House,1/06/2019,1/09/2019,1/09/2019,92,7,99,Public Housing,BAYSIDE HSC,Redland,Capalaba
4161,3,Detached House,1/10/2019,1/11/2019,1/11/2019,23,11,34,Public Housing,BAYSIDE HSC,Redland,Capalaba
4161,3,Detached House,1/07/2019,1/07/2019,1/07/2019,0,0,0,Public Housing,BAYSIDE HSC,Redland,Capalaba
4161,2,Cluster House,1/08/2019,1/09/2019,1/09/2019,13,1,14,Public Housing,BAYSIDE HSC,Redland,Capalaba
4161,3,Detached House,1/05/2019,1/07/2019,1/07/2019,55,1,56,Public Housing,BAYSIDE HSC,Redland,Capalaba
