Postcode,Bedrooms,PropertyType,VUDate,VTDate,TENDate,VUDays,VTDays,TotalVacDays,Program,HousingServiceCentre,LocalGovtAuthority,StateElectorate
0000,3,Detached House,Aug-20,Aug-20,Aug-20,0,0,0,Public Housing,INALA ,Brisbane,Mount Ommaney
0000,2,Detached House,Aug-20,Aug-20,Aug-20,1,0,1,Public Housing,IPSWICH ,Ipswich,Bundamba
0000,2,Detached House,Sep-20,Sep-20,Sep-20,1,0,1,Public Housing,IPSWICH ,Ipswich,Bundamba
0000,2,Detached House,Dec-20,Dec-20,Dec-20,1,0,1,Public Housing,IPSWICH ,Ipswich,Bundamba
0000,2,Detached House,Jul-20,Jul-20,Jul-20,1,0,1,Public Housing,TOWNSVILLE ,Townsville,Thuringowa
0000,3,Detached House,Nov-20,Nov-20,Nov-20,1,0,1,Public Housing,IPSWICH ,Ipswich,Ipswich
0000,3,Detached House,Nov-20,Nov-20,Nov-20,1,0,1,Public Housing,IPSWICH ,Ipswich,Ipswich
0000,3,Duplex,Jul-20,Jul-20,Jul-20,1,1,2,Public Housing,CHERMSIDE ,Brisbane,Sandgate
0000,3,Detached House,Sep-20,Sep-20,Sep-20,1,1,2,Public Housing,IPSWICH ,Ipswich,Bundamba
0000,3,Detached House,Oct-20,Oct-20,Oct-20,1,1,2,Public Housing,INALA ,Brisbane,Mount Ommaney
4127,2,Apartment,Nov-20,Nov-20,Nov-20,1,1,2,Public Housing,LOGAN ,Logan,Springwood
0000,1,Apartment,Sep-20,Sep-20,Sep-20,1,2,3,Public Housing,BURANDA ,Brisbane,Greenslopes
4812,2,Duplex,Oct-20,Oct-20,Oct-20,1,2,3,Public Housing,TOWNSVILLE ,Townsville,Townsville
0000,2,Apartment,Jul-20,Jul-20,Jul-20,1,3,4,Public Housing,BURANDA ,Brisbane,Toohey
0000,2,Detached House,Jan-21,Jan-21,Jan-21,1,5,6,Public Housing,IPSWICH ,Ipswich,Bundamba
0000,2,Apartment,Oct-20,Oct-20,Oct-20,2,1,3,Public Housing,LOGAN ,Logan,Macalister
4812,2,Apartment,Aug-20,Aug-20,Aug-20,8,0,8,Public Housing,TOWNSVILLE ,Townsville,Townsville
4812,2,Duplex,Oct-20,Oct-20,Oct-20,8,2,10,Public Housing,TOWNSVILLE ,Townsville,Townsville
4817,3,Detached House,Oct-20,Oct-20,Oct-20,13,0,13,Public Housing,TOWNSVILLE ,Townsville,Hinchinbrook
4812,2,Apartment,Nov-20,Nov-20,Jan-21,13,52,65,Public Housing,TOWNSVILLE ,Townsville,Mundingburra
0000,3,Detached House,Aug-20,Sep-20,Sep-20,15,0,15,Public Housing,INALA ,Brisbane,Algester
0000,2,Apartment,Aug-20,Sep-20,Sep-20,18,0,18,Public Housing,LOGAN ,Logan,Macalister
4814,3,Detached House,Oct-20,Nov-20,Nov-20,18,1,19,Public Housing,TOWNSVILLE ,Townsville,Mundingburra
4812,2,Apartment,Jul-20,Aug-20,Aug-20,23,0,23,Public Housing,TOWNSVILLE ,Townsville,Townsville
