,Postcode,Bedrooms,RentalUnitDesc,VUDate,VTDate,TENDate,RUUseType,HousingServiceCentre,VUDays,VTDays,TotalVAC,LGA,StateElectorate,PropertyType,TotalVacDays,Program,LocalGovtAuthority,Year
0,4032,3,3 BR DETACHED HOUSE,9/10/2017,2/11/2017,3/11/2017,RGS,105,24,1,25.0,BRISBANE,STAFFORD,,,,,2017
1,4108,2,2 BR APARTMENT,3/04/2018,18/04/2018,2/05/2018,RGS,107,15,14,29.0,BRISBANE,TOOHEY,,,,,2018
2,4108,2,2 BR APARTMENT,1/08/2017,11/08/2017,21/08/2017,RGS,107,10,10,20.0,BRISBANE,TOOHEY,,,,,2017
3,4108,2,2 BR APARTMENT,1/03/2018,23/03/2018,28/03/2018,RGS,107,22,5,27.0,BRISBANE,TOOHEY,,,,,2018
4,4108,2,2 BR APARTMENT,15/11/2017,1/12/2017,2/01/2018,RGS,107,16,32,48.0,BRISBANE,TOOHEY,,,,,2018
5,4108,2,2 BR APARTMENT,13/11/2017,1/12/2017,11/12/2017,RGS,107,18,10,28.0,BRISBANE,TOOHEY,,,,,2017
6,4108,2,2 BR APARTMENT,19/01/2018,2/02/2018,1/03/2018,RGS,107,14,27,41.0,BRISBANE,TOOHEY,,,,,2018
7,4108,2,2 BR APARTMENT,12/10/2017,27/10/2017,28/11/2017,RGS,107,15,32,47.0,BRISBANE,TOOHEY,,,,,2017
8,4108,1,1 BR SENIOR UNIT,18/08/2017,31/08/2017,8/09/2017,SNR,107,13,8,21.0,BRISBANE,TOOHEY,,,,,2017
9,4032,3,3 BR DETACHED HOUSE,20/11/2017,6/12/2017,22/12/2017,RGS,105,16,16,32.0,BRISBANE,STAFFORD,,,,,2017
10,4032,3,3 BR DUPLEX,7/11/2017,8/11/2017,8/11/2017,RGS,105,1,0,1.0,BRISBANE,STAFFORD,,,,,2017
11,4032,2,2 BR DETACHED HOUSE,6/09/2017,19/10/2017,27/11/2017,RGS,105,43,39,82.0,BRISBANE,STAFFORD,,,,,2017
12,4032,3,3 BR DETACHED HOUSE,15/02/2018,13/03/2018,26/03/2018,RGS,105,26,13,39.0,BRISBANE,STAFFORD,,,,,2018
13,4121,3,3 BR DETACHED HOUSE,30/04/2018,1/05/2018,9/05/2018,RGS,107,1,8,9.0,BRISBANE,GREENSLOPES,,,,,2018
14,4121,2,2 BR DETACHED HOUSE,24/05/2018,24/05/2018,24/05/2018,RGS,107,0,0,0.0,BRISBANE,GREENSLOPES,,,,,2018
15,4109,2,2 BR APARTMENT,25/10/2017,6/11/2017,15/11/2017,RGS,107,12,9,21.0,BRISBANE,TOOHEY,,,,,2017
16,4109,2,2 BR APARTMENT,17/08/2017,24/08/2017,1/09/2017,RGS,107,7,8,15.0,BRISBANE,TOOHEY,,,,,2017
17,4152,2,2 BR DETACHED HOUSE,20/04/2018,20/04/2018,20/04/2018,RGS,107,0,0,0.0,BRISBANE,CHATSWORTH,,,,,2018
18,4152,3,3 BR DETACHED HOUSE,7/02/2018,12/02/2018,1/03/2018,RGS,107,5,17,22.0,BRISBANE,CHATSWORTH,,,,,2018
19,4152,3,3 BR DETACHED HOUSE,19/09/2017,12/10/2017,3/11/2017,RGS,107,23,22,45.0,BRISBANE,CHATSWORTH,,,,,2017
20,4152,2,2 BR DETACHED HOUSE,31/05/2018,7/06/2018,14/06/2018,RGS,107,7,7,14.0,BRISBANE,CHATSWORTH,,,,,2018
21,4152,3,3 BR DETACHED HOUSE,25/07/2017,25/07/2017,25/07/2017,RGS,107,0,0,0.0,BRISBANE,CHATSWORTH,,,,,2017
22,4152,3,3 BR DETACHED HOUSE,17/05/2018,18/05/2018,4/06/2018,RGS,107,1,17,18.0,BRISBANE,CHATSWORTH,,,,,2018
23,4034,2,2 BR DETACHED HOUSE,22/01/2018,13/02/2018,29/03/2018,RGS,105,22,44,66.0,BRISBANE,ASPLEY,,,,,2018
24,4034,3,3 BR DETACHED HOUSE,15/12/2017,8/01/2018,15/01/2018,RGS,105,24,7,31.0,BRISBANE,ASPLEY,,,,,2018
25,4034,4,4 BR DETACHED HOUSE,15/08/2017,4/09/2017,15/09/2017,RGS,105,20,11,31.0,BRISBANE,ASPLEY,,,,,2017
26,4034,2,2 BR DETACHED HOUSE,10/10/2017,4/01/2018,17/01/2018,RGS,105,86,13,99.0,BRISBANE,ASPLEY,,,,,2018
27,4034,2,2 BR DETACHED HOUSE,23/11/2017,21/12/2017,12/01/2018,RGS,105,28,22,50.0,BRISBANE,ASPLEY,,,,,2018
28,4034,2,2 BR DETACHED HOUSE,11/07/2017,4/08/2017,8/08/2017,RGS,105,24,4,28.0,BRISBANE,ASPLEY,,,,,2017
29,4122,2,2 BR DETACHED HOUSE,5/10/2017,26/10/2017,7/11/2017,RGS,107,21,12,33.0,BRISBANE,MANSFIELD,,,,,2017
30,4122,3,3 BR DETACHED HOUSE,1/05/2018,1/05/2018,17/05/2018,RGS,107,0,16,16.0,BRISBANE,MANSFIELD,,,,,2018
31,4122,2,2 BR APARTMENT,9/11/2017,27/11/2017,5/12/2017,RGS,107,18,8,26.0,BRISBANE,MANSFIELD,,,,,2017
32,4032,3,3 BR DETACHED HOUSE,13/06/2017,28/06/2017,7/07/2017,RGS,105,15,9,24.0,BRISBANE,STAFFORD,,,,,2017
33,4077,2,2 BR DETACHED HOUSE,10/01/2018,8/02/2018,12/02/2018,RGS,104,29,4,33.0,BRISBANE,INALA,,,,,2018
34,4077,2,2 BR APARTMENT,13/02/2018,5/03/2018,19/03/2018,RGS,104,20,14,34.0,BRISBANE,INALA,,,,,2018
35,4077,3,3 BR DETACHED HOUSE,15/11/2017,27/11/2017,29/11/2017,RGS,104,12,2,14.0,BRISBANE,INALA,,,,,2017
36,4077,4,4 BR DETACHED HOUSE,26/04/2018,25/05/2018,30/05/2018,RGS,104,29,5,34.0,BRISBANE,INALA,,,,,2018
37,4077,2,2 BR DETACHED HOUSE,7/11/2017,22/11/2017,24/11/2017,RGS,104,15,2,17.0,BRISBANE,INALA,,,,,2017
38,4077,2,2 BR DETACHED HOUSE,9/11/2017,20/11/2017,21/11/2017,RGS,104,11,1,12.0,BRISBANE,INALA,,,,,2017
39,4077,2,2 BR DETACHED HOUSE,28/05/2018,28/05/2018,29/05/2018,RGS,104,0,1,1.0,BRISBANE,INALA,,,,,2018
40,4110,2,2 BR APARTMENT,1/11/2017,16/11/2017,21/11/2017,RGS,104,15,5,20.0,BRISBANE,ALGESTER,,,,,2017
41,4077,3,3 BR DETACHED HOUSE,20/06/2017,11/07/2017,11/07/2017,RGS,104,21,0,21.0,BRISBANE,INALA,,,,,2017
42,4077,2,2 BR DETACHED HOUSE,21/06/2017,20/07/2017,20/07/2017,RGS,104,29,0,29.0,BRISBANE,INALA,,,,,2017
43,4077,2,2 BR DETACHED HOUSE,25/10/2017,29/11/2017,30/11/2017,RGS,104,35,1,36.0,BRISBANE,INALA,,,,,2017
44,4077,2,2 BR DETACHED HOUSE,22/03/2018,23/03/2018,6/04/2018,RGS,104,1,14,15.0,BRISBANE,INALA,,,,,2018
45,4077,2,2 BR ATTACHED HOUSING,13/02/2018,5/03/2018,15/03/2018,RGS,104,20,10,30.0,BRISBANE,INALA,,,,,2018
46,4077,3,3 BR DETACHED HOUSE,28/09/2017,18/10/2017,19/10/2017,RGS,104,20,1,21.0,BRISBANE,INALA,,,,,2017
47,4077,3,3 BR DETACHED HOUSE,12/02/2018,23/03/2018,29/03/2018,RGS,104,39,6,45.0,BRISBANE,INALA,,,,,2018
48,4077,2,2 BR DUPLEX,28/07/2017,31/07/2017,3/08/2017,RGS,104,3,3,6.0,BRISBANE,INALA,,,,,2017
49,4077,2,2 BR DETACHED HOUSE,29/06/2017,26/07/2017,27/07/2017,RGS,104,27,1,28.0,BRISBANE,INALA,,,,,2017
50,4077,2,2 BR APARTMENT,1/11/2017,1/11/2017,8/11/2017,RGS,104,0,7,7.0,BRISBANE,INALA,,,,,2017
51,4077,3,3 BR DETACHED HOUSE,20/12/2017,22/12/2017,22/12/2017,RGS,104,2,0,2.0,BRISBANE,INALA,,,,,2017
52,4077,2,2 BR ATTACHED HOUSING,9/11/2017,24/11/2017,27/11/2017,RGS,104,15,3,18.0,BRISBANE,INALA,,,,,2017
